509,32.13
1013,32.19
1516,32.25
2020,32.31
2523,32.38
3026,32.38
3529,32.50
4033,32.50
4537,32.56
5040,32.56
5543,32.63
6046,32.75
6550,32.75
7054,32.75
7557,32.75
8060,32.81
8564,32.88
9067,32.94
9571,32.94
10074,33.00
10577,33.00
11081,33.06
11584,33.13
12088,33.13
12592,33.19
13095,33.13
13598,33.19
14102,33.25
14606,33.19
15109,33.25
15612,33.31
16116,33.31
16620,33.31
17123,33.31
17627,33.31
18130,33.38
18634,33.38
19137,33.38
19641,33.44
20145,33.50
20648,33.56
21151,33.56
21655,33.50
22159,33.56
22662,33.56
23165,33.63
23669,33.63
24173,33.63
24676,33.69
25180,33.69
25683,33.69
26187,33.69
26690,33.63
27194,33.69
27698,33.69
28201,33.75
28704,33.81
29208,33.75
29712,33.88
30216,33.81
30720,33.81
31222,33.88
31726,33.88
32230,33.88
32734,33.88
33236,33.88
33740,33.94
34244,33.94
34747,34.00
35251,33.94
35755,34.00
36258,34.00
36762,34.00
37265,34.06
37769,34.00
38273,34.06
38775,34.06
39279,34.06
39783,34.06
40287,34.13
40790,34.13
41293,34.13
41797,34.13
42301,34.13
42805,34.13
43308,34.13
43811,34.13
44315,34.19
44819,34.19
45323,34.19
45826,34.13
46329,34.25
46833,34.19
47337,34.19
47841,34.19
48344,34.25
48847,34.19
49351,34.19
49855,34.19
50359,34.25
50862,34.38
51365,34.31
51869,34.31
52373,34.31
52876,34.31
53380,34.31
53883,34.38
54387,34.31
54890,34.38
55394,34.31
55898,34.38
56401,34.38
56905,34.38
57408,34.38
57912,34.38
58416,34.44
58919,34.50
59423,34.44
59926,34.44
60430,34.38
60934,34.44
61437,34.38
61941,34.44
62445,34.50
62948,34.50
63452,34.44
63955,34.50
64459,34.50
64962,34.56
65466,34.50
65970,34.50
66473,34.44
66977,34.50
67480,34.44
67984,34.50
68488,34.50
68992,34.50
69495,34.56
69999,34.56
70502,34.56
71006,34.56
71510,34.56
72013,34.63
72517,34.63
73020,34.63
73524,34.63
74028,34.63
74531,34.63
75035,34.69
75538,34.63
76042,34.63
76546,34.69
77049,34.63
77553,34.63
78056,34.69
78560,34.69
79064,34.63
79567,34.63
80071,34.75
80574,34.69
81078,34.63
81582,34.69
82085,34.69
82589,34.69
83093,34.69
83596,34.69
84100,34.63
84603,34.63
85107,34.69
85611,34.75
86114,34.69
86618,34.69
87121,34.69
87625,34.69
88129,34.69
88633,34.75
89136,34.69
89639,34.75
90143,34.69
90647,34.75
91151,34.75
91655,34.75
92157,34.75
92661,34.75
93165,34.75
93669,34.81
94173,34.75
94676,34.81
95180,34.81
95683,34.75
96187,34.81
96691,34.81
97195,34.81
97698,34.81
98202,34.81
98705,34.81
99209,34.75
99713,34.75
10
